ticker,date,target
MDB,2021-05-03,0
INTC,2021-05-03,0
GS,2021-05-03,0
AMAT,2021-05-03,0
AMZN,2021-05-03,0
BLK,2021-05-03,1
COST,2021-05-03,0
PYPL,2021-05-03,0
MU,2021-05-03,0
NFLX,2021-05-03,0
NOW,2021-05-03,0
META,2021-05-03,0
PLTR,2021-05-03,0
FSLR,2021-05-03,0
DDOG,2021-05-04,0
ABNB,2021-05-04,0
GOOGL,2021-05-04,1
QCOM,2021-05-04,1
AMZN,2021-05-04,0
AMAT,2021-05-04,1
NVDA,2021-05-04,1
CRM,2021-05-04,0
META,2021-05-04,0
WFC,2021-05-04,1
MS,2021-05-04,1
MSFT,2021-05-04,0
UNH,2021-05-04,1
WMT,2021-05-04,0
AVGO,2021-05-04,0
TSLA,2021-05-04,0
COST,2021-05-04,0
INTC,2021-05-04,0
DXCM,2021-05-04,0
TGT,2021-05-04,1
BLK,2021-05-04,1
BAC,2021-05-04,1
MDB,2021-05-04,0
NFLX,2021-05-04,0
PYPL,2021-05-04,0
PLTR,2021-05-04,0
FSLR,2021-05-04,1
SHOP,2021-05-04,0
V,2021-05-04,0
MU,2021-05-04,1
NOW,2021-05-04,0
MA,2021-05-04,0
SNOW,2021-05-04,0
AAPL,2021-05-04,1
ENPH,2021-05-04,0
EBAY,2021-05-04,1
ISRG,2021-05-04,0
GS,2021-05-04,1
NET,2021-05-04,0
JPM,2021-05-04,1
AMD,2021-05-04,0
NOW,2021-05-05,1
EBAY,2021-05-05,1
AMAT,2021-05-05,1
DDOG,2021-05-05,0
INTC,2021-05-05,1
UNH,2021-05-05,1
BLK,2021-05-05,1
NFLX,2021-05-05,1
AVGO,2021-05-05,1
WMT,2021-05-05,1
NVDA,2021-05-05,1
MA,2021-05-05,1
SNOW,2021-05-05,0
ISRG,2021-05-05,1
ENPH,2021-05-05,0
WFC,2021-05-05,1
FSLR,2021-05-05,0
GS,2021-05-05,1
NET,2021-05-05,0
MS,2021-05-05,1
QCOM,2021-05-05,1
JPM,2021-05-05,1
SHOP,2021-05-05,0
META,2021-05-05,1
AAPL,2021-05-05,1
MU,2021-05-05,0
COST,2021-05-05,1
PYPL,2021-05-05,1
TGT,2021-05-05,1
CRM,2021-05-05,1
AMZN,2021-05-05,1
DXCM,2021-05-05,0
TSLA,2021-05-05,0
MDB,2021-05-05,0
MSFT,2021-05-05,1
BAC,2021-05-05,1
GOOGL,2021-05-05,1
V,2021-05-05,1
AMD,2021-05-05,1
ABNB,2021-05-05,0
PLTR,2021-05-05,0
NET,2021-05-06,1
BAC,2021-05-06,1
ABNB,2021-05-06,0
ENPH,2021-05-06,1
ISRG,2021-05-06,1
SHOP,2021-05-06,1
CRM,2021-05-06,0
SNOW,2021-05-06,1
GOOGL,2021-05-06,1
PLTR,2021-05-06,0
MU,2021-05-06,1
MSFT,2021-05-06,1
AVGO,2021-05-06,1
COST,2021-05-06,1
NVDA,2021-05-06,1
EBAY,2021-05-06,1
PYPL,2021-05-06,1
NFLX,2021-05-06,1
BLK,2021-05-06,1
DDOG,2021-05-06,1
AMZN,2021-05-06,0
WMT,2021-05-06,0
AAPL,2021-05-06,1
QCOM,2021-05-06,1
AMD,2021-05-06,1
INTC,2021-05-06,1
TSLA,2021-05-06,1
AMAT,2021-05-06,1
TGT,2021-05-06,1
V,2021-05-06,1
NOW,2021-05-06,0
GS,2021-05-06,1
UNH,2021-05-06,1
MDB,2021-05-06,1
FSLR,2021-05-06,1
JPM,2021-05-06,1
DXCM,2021-05-06,1
WFC,2021-05-06,0
META,2021-05-06,0
MS,2021-05-06,1
MA,2021-05-06,0
AVGO,2021-05-07,0
FSLR,2021-05-07,0
QCOM,2021-05-07,0
MDB,2021-05-07,0
META,2021-05-07,0
PYPL,2021-05-07,0
DDOG,2021-05-07,0
GOOGL,2021-05-07,0
WMT,2021-05-07,1
TGT,2021-05-07,0
NET,2021-05-07,0
V,2021-05-07,0
ABNB,2021-05-07,0
UNH,2021-05-07,1
MS,2021-05-07,0
MA,2021-05-07,0
INTC,2021-05-07,0
WFC,2021-05-07,1
SHOP,2021-05-07,0
AAPL,2021-05-07,0
JPM,2021-05-07,0
EBAY,2021-05-07,1
SNOW,2021-05-07,0
AMZN,2021-05-07,0
DXCM,2021-05-07,0
ENPH,2021-05-07,0
COST,2021-05-07,0
CRM,2021-05-07,0
NVDA,2021-05-07,0
NFLX,2021-05-07,0
NOW,2021-05-07,0
PLTR,2021-05-07,0
MSFT,2021-05-07,0
GS,2021-05-07,0
MU,2021-05-07,0
TSLA,2021-05-07,0
AMD,2021-05-07,0
AMAT,2021-05-07,0
BLK,2021-05-07,0
BAC,2021-05-07,0
ISRG,2021-05-07,0
AAPL,2021-05-10,0
MU,2021-05-10,0
EBAY,2021-05-10,0
AMZN,2021-05-10,1
WMT,2021-05-10,0
AMD,2021-05-10,1
BLK,2021-05-10,0
MA,2021-05-10,1
FSLR,2021-05-10,0
NVDA,2021-05-10,1
INTC,2021-05-10,0
GS,2021-05-10,0
WFC,2021-05-10,0
TGT,2021-05-10,0
NET,2021-05-10,1
META,2021-05-10,1
AVGO,2021-05-10,1
ABNB,2021-05-10,0
AMAT,2021-05-10,0
ISRG,2021-05-10,1
BAC,2021-05-10,0
NFLX,2021-05-10,1
TSLA,2021-05-10,0
DDOG,2021-05-10,1
NOW,2021-05-10,1
QCOM,2021-05-10,0
MDB,2021-05-10,1
JPM,2021-05-10,0
PYPL,2021-05-10,1
CRM,2021-05-10,1
PLTR,2021-05-10,1
MS,2021-05-10,0
V,2021-05-10,0
COST,2021-05-10,0
ENPH,2021-05-10,1
UNH,2021-05-10,0
SHOP,2021-05-10,1
DXCM,2021-05-10,1
SNOW,2021-05-10,1
GOOGL,2021-05-10,0
MSFT,2021-05-10,0
AMD,2021-05-11,0
NFLX,2021-05-11,0
AMZN,2021-05-11,0
DXCM,2021-05-11,0
AVGO,2021-05-11,0
COST,2021-05-11,0
AMAT,2021-05-11,0
NOW,2021-05-11,0
BLK,2021-05-11,0
TSLA,2021-05-11,0
V,2021-05-11,0
WFC,2021-05-11,0
NET,2021-05-11,0
MDB,2021-05-11,0
UNH,2021-05-11,0
SHOP,2021-05-11,0
INTC,2021-05-11,0
TGT,2021-05-11,0
META,2021-05-11,0
ABNB,2021-05-11,0
PLTR,2021-05-11,0
JPM,2021-05-11,0
SNOW,2021-05-11,0
MA,2021-05-11,0
AAPL,2021-05-11,0
MU,2021-05-11,0
GOOGL,2021-05-11,0
MS,2021-05-11,0
NVDA,2021-05-11,0
PYPL,2021-05-11,0
GS,2021-05-11,0
MSFT,2021-05-11,0
ENPH,2021-05-11,0
QCOM,2021-05-11,0
ISRG,2021-05-11,0
DDOG,2021-05-11,0
EBAY,2021-05-11,0
BAC,2021-05-11,0
FSLR,2021-05-11,0
WMT,2021-05-11,0
CRM,2021-05-11,0
DDOG,2021-05-12,1
PYPL,2021-05-12,1
META,2021-05-12,1
INTC,2021-05-12,1
MSFT,2021-05-12,1
ABNB,2021-05-12,0
TGT,2021-05-12,1
AVGO,2021-05-12,1
SHOP,2021-05-12,0
PLTR,2021-05-12,0
FSLR,2021-05-12,0
MDB,2021-05-12,0
GOOGL,2021-05-12,1
V,2021-05-12,1
UNH,2021-05-12,1
MS,2021-05-12,1
ENPH,2021-05-12,0
QCOM,2021-05-12,1
AMAT,2021-05-12,1
NOW,2021-05-12,0
BAC,2021-05-12,1
ISRG,2021-05-12,1
CRM,2021-05-12,1
NFLX,2021-05-12,1
WMT,2021-05-12,1
NET,2021-05-12,0
COST,2021-05-12,1
NVDA,2021-05-12,0
TSLA,2021-05-12,0
SNOW,2021-05-12,0
